author,pubmed_id
Adriane M F Milagres,"32766234,31421724"
Adrie H Westphal,"26185526, 27588039, 28491137, 29896168, 29196788"
Adrienne L Davis,28220903
Adrienne R Hardham,25214042
Agata Jakubowska,25080221
Agata Pijl,32482164
Aggeliki Skagia,35208854
Agnes C Pimentel,32680862
Agnes Heering,30514757
Agustina Llanos,30691469
Ahlan Sabah Ferdous,32217134
Ahmad Bazli Ramzi,31879570
Ahmad Eldoksh,32311402
Ahmed Al-Harrasi,35205861
Ahmed E Altyar,33949258
Ahmed Hussein,"28851634, 32311402"
Ahmed Shabbir,35587321
Ai-Xing Tang,23916949
Aicha Asma Houfani,35602048
Aida Farag,"28851634, 30097831"
Aidar D Satrutdinov,28107425
Aina McEvoy,34163601
Aishwarya Srivastava,35080440
Aiswarya Jayaprakash,"32128282, 35470778"
Ajay Badhan,"29621684, 34976318"
Ajay S Kalamdhad,31071575
Aji P Mathew,33905799
Akane Nakata,33990299
Akari Higashitani,32239207
Akbar Pathan,26234578
Åke Olson,"29228039, 30183773"
Akihiko Kosugi,32651597
Akiko Carver,"35604096, 33034064"
Akira Yokota,33676867
Akshay Shankar,30695716
Alain Buléon,28114419
Alain Guillot,28114419
Alain Marty,29238402
Alain Milon,21271685
Alain Roussel,23558681
Alain Van Dorsselaer,24828340
Alaksh Choudhury,27052057
Alan Berry,34240737
Alan Cartmell,"30262663, 30877196"
Alan D W Dobson,"33488540, 34372938, 34555402"
Alan J McCarthy,28776044
Alan Kadek,"33489432, 27851982"
Alan Kuo,"33211093, 33538380, 26171947, 26693682, 28076886, 28078400, 28555641, 29679020, 31189469, 31314937, 32107379, 34767630"
Alan W Walker,29159997
Alasdair K Mackenzie,"24912171,21748815"
Alastair G B Simpson,35700733
Albert Heck,28188936
Alberto González,12721481
Alberto Moura Mendes Lopes,33484441
Alda Lisa Concia,28060494
Aldo José Pinheiro Dillon,"26989443, 35189252"
Alei Zhang,"33193169, 32980915"
Alejandro Jiménez-Gómez,31540065
Alejandro Maass,30123662
Alejandro Pérez-García,33742545
Aleksandra M Rozhkova,"28107425, 31672609, 30847851, 32111065, 26301455"
Alen Požgajčić,31827611
Alessandra Piscitelli,28624475
Alessandro Infantino,21544619
Alessandro M Varani,34063014
Alessandro Paradisi,"32723819, 31675221, 32125319, 34240737, 34897841"
Alessia Munzone,31903721
Alessio Giacomini,32623485
Alex Berlin,27211037
Alex Copeland,"27313837, 32929206"
Alex Di Genova,30123662
Alex Galanis,34764945
Alex Trevaskis,31231605
Alexa Frischmann,26864432
Alexander A Myburg,"25994181, 29110088"
Alexander Ekstrom,25125445
Alexander G Bulakhov,"28107425, 29100178"
Alexander G Elcheninov,29163426
Alexander Holm Viborg,"31324716, 31501245"
Alexander J Mann,25211053
Alexander J Probst,29496730
Alexander Lichius,25626518
Alexander Skupin,22027553
Alexander T Setchfield,33597033
Alexander V Gusakov,"28107425, 29100178, 31672609, 30847851, 20540109,20540109, 26301455"
Alexander Wentzel,"33478537, 28963711"
Alexandra Bisotto,"30083230, 34436182"
Alexandra Cordova,34352714
Alexandra Dürwald,30116038
Alexandra M Schirmacher,33903229
Alexandra Meynier,35533274
Alexandra S Tauzin,"31420336, 35401468"
Alexandra Z Worden,"29749714, 35259927"
Alexandre Hild Aono,35281818
Alexandre Rafael Lenz,35189252
Alexandre Reinhardt,"15128223, 15478977, 15823320"
Alexei I Slesarev,29163426
Alexei Savchenko,31324716
Alexey G Kopchinskiy,"27030800, 31189469"
Alfons J M Stams,32570748
Alfons K G Felice,"27127235, 27152023, 33489432, 27851982, 22729546"
Alfonso Ángel Ramos-Esplá,34519521
Alfredo Herrera-Estrella,26864432
Ali I Mirza,35500534
Ali R Bayat,28197133
Alice C McHardy,28417375
Alicia Clum,"32107379, 34893598"
Alicia Couto,32965563
Alicia Froidurot,35184689
Alicia Prieto,34948409
Aline Crucello,33138770
Aline De Lima Leite,34032403
Aline Tieppo de Souza,28666414
Aline Vianna Bernardi,"29614953, 31237199, 33383972"
Alisdair B Boraston,"22858095, 23150581, 24326248, 25136767, 28417372, 28588026, 12634060, 17850114"
Alison Parkin,"35171174, 34240737, 23540833"
Alison Stewart,26864432
Alistair R McTaggart,31053324
Alla Lapidus,"26380634, 27274783, 27313837"
Allen C Gathman,32531032
Almar Neiteler,"26457194, 28955445"
Almina I Polinova,32040234
Álvaro Polonio,33742545
Aly E Abo-Amer,"17357571, 17899791, 19284165"
Amadeus Pribowo,23915398
Amaia Green Etxabe,26583519
Amalraj Ramesh Sundar,28215348
Amanda Cristina Campos Antoniêto,"30771467, 24655731,26909077"
Amanda Gardner,33397617
Amanda K Chaplin,27129229
Amanda O Dos S Melo-Nascimento,29947838
Amandine Adrien,35406293
Amani Chalak,31508147
Amani El-Ahwany,33106988
Amany El-Sharkawy,"28851634, 30097831"
Amar A Telke,25301584
Amaresh Chandra,33732569
Amaresh Kumar Nayak,34607097
Amel Bouanane Derenfed,35598016
Amel Majira,33435491
Amelia G Kelly,23150581
Amgalanbaatar Baldansuren,26928935
Amira Abood,33903229
Amira Embaby,"26234578, 28851634, 30097831"
Amira Suriaty Yaakop,"32610703, 35181739"
Amit Bar-Or,35500534
Amit K Rai,32778049
Amit Kumar,30695716
Amith Abraham,"33292411, 33737204"
Amitha P Reddy,25648696
Amolkumar U Solanke,"29230233, 33365017"
Amrendra Kumar,35470778
Amrita Pati,"22535930, 26380634, 27274783, 27313837, 25648696"
Amrutlal K Patel,"24797613, 25644118, 26714477, 28246035"
Amy Baetsen-Young,31852777
Amy C Rosenzweig,31527086
Amy Chen,22535930
Amy J Powell,26279186
Amy M Chan,29749714
An Liu,33841014
Ana C B Araújo,28411891
Ana C Esteves,"34947073, 35049971"
Ana Camila Andrade,"28070679, 29947838"
Ana Carolina de Mattos Zeri,35378128
Ana Carolina Piva de Oliveira,33865436
Ana E T Leite,30125294
Ana Gabriela Veiga Sepulchro,33541573
Ana Gutiérrez,"34071235, 28624475"
Ana José Pires,26249681
Ana L Carvalho,15192099
Ana Lilia Martinez-Rocha,32573086
Ana Lucia de Oliveira-Carvalho,32984289
Ana M Costa-Leonardo,27790186
Ana Paula B Moreira,33675372
Ana S Luís,25713075
Ana Serrano,"33211093, 28624475"
Ana Villares,"28071716, 28919928, 29377002, 31249619, 31508147"
Ana Vrsalović Presečki,34582984
Ana-Belen Martin-Cuadrado,34519521
Anam Saqib,23976829
Anand B Patel,28246035
Anas Abu-Doleh,31864285
Anas Saadeddin,23537325
Anastasia A Ivanova,"27545292, 28360896, 31800383"
Anastasia L Lagopodi,25575496
Anastasia Venieraki,35208854
Anastasia Zerva,"31932718, 32793303, 30685134, 34597805"
Ander Peña,34071235
Anders Broberg,"29228039, 30183773"
Anders F Andersson,28731473
Anders Feilberg,35247567
Anders Krogh,29163426
Anders Winzell,20307500
Andika Sidar,32850729
André Busch,28854242
André Damasio,"35658600,33421883, 34655732, 31421724, 31754374, 33644017, 33865436"
André Ferraz,"31421724, 32766234"
Andre Fioravante Guerra,32623485
Andre Fleissner,"34384463,34168079"
André L A Neves,34814938
André Martinho de Almeida,"34945510,35101639"
André Ricardo de Lima Damásio,"26712719, 27508003,25428936, 26923808"
Andrea C Neira,"31460171, 33163824"
Andrea Camattari,26285758
Andrea Ceci,34442757
Andrea Minio,33815343
Andrea Perez,26410073
Andrea Seveso,34342275
Andrea Strazzulli,"20427274, 30446550, 31595646, 32899230"
Andrea Trochine,35713658
Andreas B Bertelsen,"33640002, 33797234, 33896006"
Andreas Blennow,16584202
Andreas Bremges,28417375
Andreas Koestelbauer,34484168
Andreas P Teske,34112968
Andreas S Bommarius,24794535
Andrei Kiselev,35050028
Andrei Stecca Steindorff,"24655731, 34523973,31189469, 33034064"
Andrew C Heath,35533274
Andrew C Tolonen,25393313
Andrew F Billings,34512564
Andrew J Conrad,11922568
Andrew J King,29150503
Andrew J Mort,"27075737, 30328527, 33097402"
Andrew J Roger,35700733
Andrew P Montgomery,28683920
Andrew S Arvai,24912171
Andrew Thompson,26249681
Andrew Tritt,"35604096, 33211093"
Andrey A Dovzhenok,29625007
Andrey A Kruglov,32040234
Andrey Y Kovalevsky,"28481095,26527275"
Andriy Kovalchuk,31138126
Anelyse A Cortez,33483031
Anete Pereira De Souza,"35281818,33992696, 29025413, 34040092,33138770"
Angel T Martínez,"34071235, 33211093, 28624475, 33538380,32531032, 26692083"
Angel Zhang,28412514
Angela Casillo,30446550
Angela D Norbeck,32929206
Angela H Williams,32345704
Angela S Machado,32766234
Angélica de Oliveira Pontes,28666414
Angélina d'Orlando,31508147
Angélique Gobet,30524390
Angelo Duò,27938347
Anh Dzung Nguyen,35001244
Anhui Chen,31993039
Anika Glasenapp,32573086
Anikó Várnai,"34798071, 24733907, 26609322, 27059395, 27587308, 27590806, 28219736, 29602785, 29971843, 30125294, 30257993, 30578267, 30923566, 31431506, 31540984, 33602308, 34613755, 35080911, 26178376, 30580186, 32634476, 32640001, 32840713, 33219291"
Anil C Somenahally,29150503
Anil Kumar Patel,34000697
Anil Kumar Verma,"32963975, 33768388"
Anil Shukla,32929206
Anita A Severn-Ellis,35283890
Anita Jerkovic,32382450
Anjani Kumar,34607097
Anju Kala,33087998
Anke Neumann,"32066798, 32318549"
Ankit T Hinsu,28246035
Ankita Rathore,31081473
Anmoldeep Randhawa,32978122
Ann C Y Wong,30083228
Ann L T Powell,25232357
Ann-Marie Dalin,28731473
Anna Avrova,27875982
Anna Carolina Oliveira Souza,34063014
Anna Company,"31460171, 33163824"
Anna H K Riemen,15590674
Anna Hakobyan,31800383
Anna J Taylor,34032403
Anna Klindworth,25211053
Anna Kopf,25479944
Anna Lam,28900033
Anna Lewin,28963711
Anna Lipzen,"31471321, 34071235, 35604096, 27605927, 30221832, 29145801, 32531032, 33211093, 33538380, 26692083, 26693682, 28184248, 29487573, 29551995, 29679020, 31007715, 31314937, 31585998, 31726994, 31769802, 32107379, 32313551, 33034064, 34372938, 34767630, 34791213, 35311955, 35330313, 31572496, 34893598"
Anna Luiza Bauer Canellas,34555402
Anna M Alessi,"33597033, 31719844, 33903229"
Anna M Kielak,24947206
Anna M Larsson,23525113
Anna M Neumann,25847866
Anna Maria Persiani,34442757
Anna Muszewska,35050007
Anna O Avrova,34385392
Anna Padula,20427274
Anna Pawlik,31697461
Anna R Kersting,25994181
Anna Rita Trentin,28215348
Anna Robotham,26950732
Anna Rosengren,23558681
Anna S Borisova,"31624497, 26178376"
Anna S Dotsenko,26301455
Anna Skåne,34319813
Annalisa Santangelo,31595646
Anne Abot,27552843
Anne C Bunæs,21748815
Anne Cathrine Bunæs,33623002
Anne Favel,"32531032, 33538380, 22300648, 22459963"
Anne Fünfhaus,25080221
Anne Grethe Hamre,"25812992, 30640029"
Anne Lacey Samuels,35396710
Anne Lomascolo,"30083230, 32531032"
Anne Marjorie E David,29936557
Anne Richter,32273365
Anne S Meyer,"28110665, 28750348, 28293230, 32198418, 32406917, 33799907, 35668758"
Anne-Grethe Skaarberg Strømnes,30640029
Anne-Kristin Kaster,33658277
Anne-Laure Abraham,28091525
Annegret Kohler,"21644839, 25173823, 26171947, 28076886, 29487573, 29551995, 30097442, 31314937, 34767630, 35330313, 35599894, 34893598"
Annele Hatakka,24394946
Annette M Bodenheimer,"28291519, 29374564"
Annick Bernalier-Donadille,28348841
Annie Lebreton,"32039703, 35330313, 35599894"
Annika Anthonsen,21876164
Anny Yanuriati,27842852
Anouck Habrant,29259205
Anran Feng,29467819
Ansgar Poetsch,31338125
Anshu Mathur,31874688
Anshu Shankar Mathur,31360222
Anshuman A Khardenavis,"29430367, 29651183"
Ansuman Senapati,34607097
Anthi Karnaouri,"28515785, 30386433, 31827613, 33905799, 30685134, 34871721, 34597805"
Anthonia O'Donovan,30771467
Anthony C Duncan,15657491
Anthony Levasseur,"23514094, 32531032, 25575496, 24695830"
Anthony P Green,33411405
Anthony V Palumbo,29150503
Antje Wichels,"25211053, 25479944"
Antoine Gruet,26441929
Antoine Margeot,"30923563, 25626518, 34481893"
Antoine Royant,"24828494, 31903721"
Anton A Stepnov,"33478537, 34738811, 32943141, 34049079, 34845720, 35414104"
Anton Glieder,"26285758, 34044872"
Anton S M Sonnenberg,29643074
Antonella Amore,29100023
Antoni Planas,"15010454, 15192099"
Antonielle Vieira Monclaro,"33375972, 28450248, 34801726, 35451731, 34117349, 32640001"
Antonieta De Cal,"32484383,33082973"
Antonio Adalberto Kaupert Neto,26712719
Antonio Ariza,26894673
Antonio de Vicente,33742545
Antonio Francesco Logrieco,30200883
Antonio G Pisabarro,"29145801, 33211093"
Antonio Goncalves,32573768
Antonio J Costa-Filho,30125294
Antonio J F Carvalho,33483031
Antonio Masi,28215348
Antonio Molina,32720872
Antonio Muñoz-Barrios,32720872
Antonio R Anzueto,23953956
Antonio Rossi,24655731
Antonio Zapparata,"25575496, 27496087"
Antonis Karantonis,"30386433, 34871721"
Antonis Rokas,31297970
Anup Kumar Ghosh,28923009
Any Elisa de Souza Schmidt Gonçalves,31754374
Ao Wang,34634440
Aoife Hanrahan,29588664
Appa Rao Podile,"30708015, 23480960"
Archana,30903269
Ari M Hietala,22718248
Ariane Bize,"28114419, 33932835"
Arijit Panda,35369471
Arijita Basak,33542396
Arindam Bhattacharjee,33813595
Arinthip Thamchaipenet,22728789
Arisa Fukatsu,32297615
Arista Fourie,32652232
Aristofanis Vollas,31817030
Aristóteles Góes-Neto,35205897
Aristotelis C Papageorgiou,34764945
Arkady P Sinitsyn,"28107425, 29100178, 31672609, 30847851, 32111065, 20540109,20540109, 26301455"
Armaye Biresaw,33711736
Armin Ghaderi,27177969
Armin Tarrah,32623485
Arnab Pain,35401459
Arnab Sen,30291576
Arnaud Baslé,30877196
Arnaud Bridier,28114419
Aroa Rodriguez-Iglesias,26864432
Arpita Vats,33877388
Arslan Ali,34442660
Art J Ragauskas,25342973
Artemio Mendoza-Mendoza,26864432
Arthur F J Ram,"32531032, 30320082, 32850729, 25629352"
Arthur Henrique Cavalcante de Oliveira,33383972
Arthur Silva Lima,33675372
Artur Alves,"34947073, 35049971"
Artur Hermano Sampaio Dias,31754374
Artur Rogowski,"28118504, 29052930"
Arturo O Lluisma,29936557
Arturo Vera-Ponce de León,32060023
Artyom G Pravilnikov,20540109
Arun Goyal,"27917828, 15192099, 31435842"
Arunaloke Chakrabarti,28923009
Arunima Sinha,32170889
Asad Ullah,35329417
Asaf A Salamov,"28555641, 31799118"
Asaf Salamov,"32107379, 34893091"
Ashok K Singh,29230233
Ashok Pandey,"32778049, 33292411, 33737204"
Ashwani Kumar Verma,"32963975, 33768388"
Ashwini D Pathak,33732569
Asif Ali Khan,34512084
Asifa Qureshi,34341843
Asmaa Hemida,32311402
Åsmund K Røhr,"24912171, 26858252, 33478537, 27152023, 29498832, 30257993, 30923566, 30947104, 31907317, 32060276, 26178376, 28846668"
Asmund Kjendseth Røhr,"24559135, 34798071, 33623002"
Ata Ghavidel,29441125
Atchara Paemanee,22728789
AthiraRaj Sreeja-Raju,"33292411, 33737204"
Athol V Klieve,29159997
Atif Ali Khan Khalil,35329417
Atif Zaman,11922568
Atílio Tomazini Júnior,"31168322, 30338698"
Atsushi Mukai,24018662
Atsushi Sato,32107379
Atul N Vaidya,25745563
Audrey Dubost,28076886
Audrey Geairon,31088618
Augusto Vieira Magalhães,32984289
Aundy Kumar,34824307
Aurelie Cohen-Skalie,30076781
Aurélie Preynat,25785187
Aurin M Vos,29643074
Aurora Antonio-Pérez,22704667
Aurore Labourel,"31932718, 31508147, 30877196, 29377002, 26959085, 26801613, 26193423"
Ausra Peciulyte,"29946356, 33004835, 25093270"
Avani B Patel,25644118
Avizit Das,32217134
Awadhesh Prajapati,35576020
Axel A Brakhage,34126770
Axel Niebisch,"32398257, 34411561"
Axelle Bouder,31088618
Ayaka Motoyama,31688961
Ayan Roy,35568757
Ayat Hatem,24223817
Ayushi Agrawal,"33176229, 33749248"
Ayyappa Kumar Sista Kameshwar,"28123349, 29928466, 30123665, 32128279"
Azharuddin Nizamuddin,35576020
B Aramini,23841811
B Barker,28348446
B Burzynski,3569016
B Cretin,17764360
B Djafari-Rouhani,15244795
B Gramberg-Danielsen,10427535
B H Weber,9206726
B Hecart,11570757
B Henrissat,"29057953, 22243654, 28348446"
B J Stielow,28348446
B M Blossom,"31745843, 33292428"
B Martin Hällberg,26151670
B Möllers,30976324
B N Kampalath,3569016
B Pilgaard,28403817
B Piranda,11570757
B Rodoni,31014247
B S Chadha,27341464
B Therrien,18352579
B van Oort,"33292428, 35531517, 30976324"
B Vecchiarelli,27242715
Badri S Rajagopal,34240737
Bagdevi Mishra,29334897
Bahareh Nahidian,33723900
Bahia Rached,34447652
Bahig A El-Deep,19284165
Bai-Xiong Chen,34399517
Balázs Bálint,33538380
Balendu Shekher Giri,34000697
Baljit Kaur,"27341464, 32244131, 35318142, 27744242"
Bang Feng,34767630
Bangmin Yin,31837260
Bao Khanh Vu,35528656
Bao-Kai Cui,35330313
Baogui Xie,23554925
Baoli Zhu,34795385
Baolong Liu,32098800
Baoping Qu,26813984
Baoshan Chen,34948367
Baptiste Lheraud,31174468
Baptiste Thomas,28220903
Barbara Blanco-Ulate,"25232357, 33082973"
Barbara Danneels,"26285758, 30238672, 28338903, 28562644"
Barrington Herman,24386157
Barry Goodell,"27590806, 32670241, 34322098, 33315957"
Barry Hon Cheung Wong,22952861
Barry J Make,23953956
Barry S Goodell,26583519
Barsha Kalita,35470778
Bart Devreese,26285758
Bartłomiej M Kołaczkowski,34939126
Bastien Bissaro,"29901989, 31656228, 34319813, 28086105, 29138240, 29222333, 29498832, 29971843, 30061931, 30257993, 30514757, 30578267, 30923566, 30947104, 31532909, 31907317, 31932718, 32060276, 33188177, 33837197, 34827630, 34918344, 28846668, 34613753, 30076256"
Bayu Dume,33711736
Beatrice Cobucci-Ponzano,"20427274, 30446550, 31595646, 32899230"
Beatriz Medeiros Travália,33000321
Beatriz Noriega-Ortega,30116038
Becky Hochstein,20635162
Bei Liu,31998266
Bei Wang,31483848
Beibei Chen,34226407
Beibei Li,34973546
Ben Venmans,33971963
Benedict Bostock,35604096
Benedikt M Blossom,"31603264, 33675751, 34999190, 35531517, 33712158"
Benedito Rodrigues da Silva Neto,29869746
Benjamin Azu Okorley,32354059
Benjamin B Minkoff,32060026
Benjamin C Jahnes,32060023
Benjamin H Conlon,34126770
Benjamin Herran,"32190114, 31174468"
Benjamin M Nitsche,25629352
Benjamin Pluvinage,28588026
Benjamin Pontiller,34904860
Benjamin Schmidt,33623002
Benjarat Bunterngsook,"33230603, 22728789, 31204199"
Bennett Streit,31907317
Benoit J Kunath,"28417375, 30315317"
Bernard Bouza,25785187
Bernard Cathala,"28071716, 28919928, 29377002, 31249619, 31508147"
Bernard Dumas,35050028
Bernard Henrissat,"24362702, 23514094, 23935027, 25320637, 25608804, 26928935, 28434716, 28919928, 29377002, 29472725, 30923563, 31471321, 31932718, 33199373, 33837197, 34240737, 34385392, 23124232, 27312718, 27605927, 34439846, 34613753, 32531032, 33211093, 25575496, 33538380, 16415215, 20427274, 20841432, 20944220, 21037302, 21892951, 22300648, 22719820, 23748339, 24270786, 24391873, 24695830, 25101643, 25173823, 25192612, 26171947, 26692083, 26693682, 27142817, 27552843, 27938347, 28078400, 28091525, 28198423, 28216099, 28473812, 28555641, 28731473, 28803908, 29088389, 29326667, 29679020, 30262663, 30315317, 30338698, 30728469, 30850540, 31053724, 31111606, 31189469, 31314937, 31324716, 31501245, 31550558, 31595646, 32107379, 32573086, 32929206, 34767630, 34893091, 35259927, 35330313, 35409382, 35533274, 34893598, 15010454"
Bernard Slippers,"31547186, 34348651"
Bernard Vialettes,24391873
Bernd Nidetzky,"25361767, 29026070"
Bernhard Ellinger,34442660
Bernhard Seiboth,"25626518, 31007715"
Bertram Brenig,35205897
Betânia F Quirino,28411891
Betty Cottyn,"33435491, 34436182"
Bhaskar Reddy,"26714477, 34824307"
Bhima Bhukya,26700882
Bhupendra Chaudhary,30695716
Bhupinder Singh Chadha,"32244131, 31792786, 35318142, 27744242, 34293687,31054382"
Bihan Yan,24830852
Bilal El Kerdi,31903721
Bin Yao,"29666397, 25919627"
Bin Zhang,31824437
Binbin Liu,32482164
Binbin Wang,35627157
Bing Dong,33862072
Bing Li,34774959
Bing Liu,"28125213, 29228039, 29660793, 33905799, 30183773"
Bingcheng Gan,31314937
Bingqian Xu,22849362
Bingxiong Hu,26870032
Bingyan Xie,27416025
Bingyao Li,29467819
Bingzhi Chen,23554925
Binju Wang,"32051771, 33090629"
Birgit Jensen,25575496
Birgit S Gruben,"29169319, 30797054"
Birte Svensson,27588040
Bishnu Maya Bashyal,"33365017,29230233"
Bishwo N Adhikari,24069150
Biswajit Basu,31360222
Bjørge Westereng,"24324265, 23525113, 24733907, 26686263, 27059395, 27587308, 27590806, 28417362, 29660793, 29856057, 31431506, 32764705, 23246088, 28496100, 25657012, 25969695, 22132148, 22747961, 21748815"
Bjørn Altermark,34372938
Bjørn Dalhus,"26763108, 26858252, 29222333, 22210154"
Björn Sundberg,"16415215, 18434240"
Blaire Steven,29802185
Blake A Simmons,"28184248, 32107379, 32313551, 34168079, 25648696"
Blake Simmons,26279186
Blanca Cárdaba,25553522
Bo He,31249617
Bo Huang,32445001
Bo Pilgaard,"25461894, 28293230, 28649277, 33410934"
Bo Segerman,16415215
Bo Song,29467819
Bo Wang,31314937
Bo Xu,31337187
Bo Zhang,31314937
Bo Zheng,32941621
Bodo Saake,28071716
Bogdan A Slominski,33260318
Bohai Li,35509811
Bonnie Vecchiarelli,26700882
Boris Fumanal,29551995
Boshou Liao,33863285
Boshra Rashad,32634476
Bouziane Moumen,"32190114, 30223906, 31174468"
Bowen Du,20552667
Bowen Yang,32941621
Boxun Li,"31660859, 32793128, 34208763"
Boyang Ji,31589310
Božidar Šantek,"29588664, 32624871"
Brad Day,31852777
Brad Kelemen,28900033
Bradley Joseph Smith,31754374
Bradley Kelemen,"32414932, 29155571"
Bradon R McDonald,24837391
Braham Dhillon,33952202
Brandi L Cantarel,"20841432, 22719820"
Breanna Brown,31083520
Brenda Banwell,35500534
Brenda D Wingfield,"31053324, 32652232, 34432124"
Brett A Summerell,34627148
Brett I Pletschke,"31728656, 34833862"
Brett McBrayer,"33675751, 26894673"
Brian C Pierce,"28110665, 28750348"
Brian C Thomas,29496730
Brian G Fox,"25161697, 31830497, 24837391, 24607362, 33990299, 23301151"
Brian J Tindall,"26380634, 27274783, 27313837"
Brian M Hoffman,31527086
Brian N Mathibe,34833862
Brian R Scott,"26543036, 29946356"
Brian S Hawkett,29420049
Brian T Scott,15569832
Brigitte Boxma,28555641
Brigitte Chabbert,29259205
Brigitte Pickel,34893598
Brisa Ramos,32720872
Britt Hedman,24889637
Brittany Held,22535930
Bruce D L Fitt,27875982
Bruna Jacomel Favoreto de Souza Lima,35256015
Bruna Medeia Campos,35378128
Bruno Alves França,33712158
Bruno Cavallier,28903210
Bruno Francesco Rodrigues de Oliveira,"33488540, 34555402"
Bruno Guigliarelli,"33837197, 27312718, 28060494"
Bruno Hüttel,34893598
Bruno M Moerschbacher,30708015
Bruno Pontoire,28114419
Bruno R Rossi,33483031
Bruno S A F Brasil,28411891
Bruno Weiss,34063014
Bryan A White,"25002092, 27142817, 33658330"
Bryan D Merrill,34256014
Bryan Ubanwa,35694290
Bryon S Donohoe,"29100023, 26989779"
Burak Avcı,30246424
Byeollee Kim,"32737807, 33459813, 34078272, 35486322"
Byeong-Seon Jeong,17328239
Byeonghyeok Park,33811026
Byoung-Moo Lee,24714189
Byoungnam Min,"33538380, 28091548, 34767630"
Byung H Park,20696711
C A Cuomo,28348446
C A L Oliveira,34133573
C A Labate,31745843
C André Lévesque,24069150
C Arnosti,32726567
C F Martins,33518146
C Felby,"27041218, 28335986, 31745843, 35531517"
C Foja,9541887
C G Gambley,31014247
C G Joshi,33087998
C Hagaman,7473586
C Herranz,10489438
C Kevin Chambliss,"20552667, 22592813"
C Kim,23841811
C L Corless,10628771
C L Schardl,28073340
C M G A Fontes,"33518146, 24460941,33518146"
C M Thaker,19928288
C Meyer,9577801
C Pedrós-Alió,31831198
C R Kahn,1890988
C Ramseyer,18352579
C Rémond,35158407
C Robin Buell,24069150
Colin T Mant,7921171
C Trimble,16107858
C Weihe,35108096
C Y Ho,30424733
C-F Hung,16107858
C-T Lin,16107858
Cai-Hong Shen,35491831
Caihong Dong,34829206
Caiqing Yao,35509811
Caleb Kim,29625007
Callum R Nicoll,31675221
Cameron J Hunt,32406917
Cameron R Currie,"25161697, 24837391, 21368904, 30116044, 32926791, 33990299, 23301151"
Camila A Rezende,33483031
Camila Carlos-Shanley,33990299
Camila Cesário Fernandes,34448059
Camila Cristina Sanchez,28666414
Camila Louly Correa,30280097
Camila Neves,29947838
Camille Filiatrault-Chastel,"30923563, 34481893"
Candice L Swift,"31089985, 34893091"
Cao Xuan Bach,31540984
Carina Bunse,34904860
