GSE_id,substrate
GSE104606,carbon
GSE12598,glucose
GSE153084,carbon
GSE21908,carbon
GSE21908,glucose
GSE30256,glucose
GSE30327,glucose
GSE43277,carbon
GSE43843,glucose
GSE43844,glucose
GSE43845,glucose
GSE51597,glucose
GSE74916,carbon
GSE74916,glucose
GSE8517,glucose
GSE8518,glucose
GSE8670,glucose
