GSE_id,substrate
GSE123178,glucose
GSE125184,glucose
GSE125200,avicel
GSE125200,cellulose
GSE125200,glucose
GSE185550,glucose
GSE185551,glucose
GSE20628,avicel
GSE20628,cellulose
GSE62427,glucose
GSE99617,avicel
GSE99617,cellulose
GSE99617,glucose
