GSE_id,substrate
GSE13977,avicel
GSE13977,cellulose
GSE151629,avicel
GSE151629,carbon
GSE151629,cellulose
GSE151629,glucose
GSE34636,avicel
GSE34636,carbon
GSE34636,cellulose
GSE34636,glucose
